time,open,high,low,close
2022-03-08T21:00:00-03:00,38761.13,42591.68,38667.65,41960.02
2022-03-09T21:00:00-03:00,41952.13,42053.95,38545.19,39444.45
2022-03-10T21:00:00-03:00,39433.48,40237.22,38244.76,38729.79
2022-03-11T21:00:00-03:00,38729.79,39458.58,38653.89,38822.02
2022-03-12T21:00:00-03:00,38798.68,39312.5,37595.62,37790.54
2022-03-13T21:00:00-03:00,37763.37,39913.42,37567.19,39665.71
2022-03-14T21:00:00-03:00,39688.55,39896.13,38142.35,39302.7
2022-03-15T21:00:00-03:00,39302.8,41693.97,38865.67,41142.76
2022-03-16T21:00:00-03:00,41142.76,41497.24,40449.06,40963.22
2022-03-17T21:00:00-03:00,40963.22,42362,40068.88,41794.37
2022-03-18T21:00:00-03:00,41781.96,42405.01,41553.88,42235.31
2022-03-19T21:00:00-03:00,42240.43,42324.06,40930.2,41242.14
2022-03-20T21:00:00-03:00,41293.19,41588.7,40516.86,41043.14
2022-03-21T21:00:00-03:00,41018.36,43337.41,40901.13,42393.41
2022-03-22T21:00:00-03:00,42393.62,43021.73,41779.11,42925.41
2022-03-23T21:00:00-03:00,42912.21,44240,42636.54,44025.99
2022-03-24T21:00:00-03:00,44025.99,45137.12,43616.88,44320.6
2022-03-25T21:00:00-03:00,44340.49,44815.31,44101,44535.65
2022-03-26T21:00:00-03:00,44553.24,46950,44456.9,46864.39
2022-03-27T21:00:00-03:00,46854.96,48234,46672.25,47152.38
2022-03-28T21:00:00-03:00,47152.38,48128.87,46941.84,47459.03
2022-03-29T21:00:00-03:00,47459.03,47721.41,46572.15,47068.08
2022-03-30T21:00:00-03:00,47086.07,47624.18,45234,45517.27
2022-03-31T21:00:00-03:00,45522.53,46739.81,44244,46307.81
2022-04-01T21:00:00-03:00,46306.38,47218.17,45650,45820.28
2022-04-02T21:00:00-03:00,45820.28,47458.48,45565.64,46401.57
2022-04-03T21:00:00-03:00,46414.88,46891.17,45124.79,46598.2
2022-04-04T21:00:00-03:00,46514.43,47201,45342.33,45502.73
2022-04-05T21:00:00-03:00,45512.95,45548.77,43086.8,43191.59
2022-04-06T21:00:00-03:00,43172.83,43896.45,42741.52,43454.53
2022-04-07T21:00:00-03:00,43467.82,43986.09,42120,42290.11
2022-04-08T21:00:00-03:00,42258.22,42807.63,42131.51,42767.89
2022-04-09T21:00:00-03:00,42774.85,43450.72,41888.88,42133.85
2022-04-10T21:00:00-03:00,42159.45,42415.57,39218.15,39524.86
2022-04-11T21:00:00-03:00,39545.37,40691.01,39273.65,40097.46
2022-04-12T21:00:00-03:00,40099.51,41557.61,39584.86,41147.74
2022-04-13T21:00:00-03:00,41159.29,41504.29,39582.53,39961.53
2022-04-14T21:00:00-03:00,39962.6,40869.99,39788.97,40563.18
2022-04-15T21:00:00-03:00,40576.41,40701,40014.79,40395.67
2022-04-16T21:00:00-03:00,40379.81,40602.69,39565.68,39691.27
2022-04-17T21:00:00-03:00,39660.62,41101,38547.12,40814.6
2022-04-18T21:00:00-03:00,40814.6,41754.05,40578.58,41505.77
2022-04-19T21:00:00-03:00,41476.89,42220.04,40893.21,41375.85
2022-04-20T21:00:00-03:00,41378.77,42978.95,39770,40470.76
2022-04-21T21:00:00-03:00,40497,40808.66,39197.64,39726.03
2022-04-22T21:00:00-03:00,39700.55,39983.98,39301,39421.59
2022-04-23T21:00:00-03:00,39438.51,39944.65,38987,39467.4
2022-04-24T21:00:00-03:00,39464.67,40602.85,38202.91,40441.11
2022-04-25T21:00:00-03:00,40452.52,40800,37701,38137.67
2022-04-26T21:00:00-03:00,38105.68,39494.73,37885.75,39256.05
2022-04-27T21:00:00-03:00,39254.4,40387,38880.44,39754.2
2022-04-28T21:00:00-03:00,39753.28,39923.61,38174.27,38593.42
2022-04-29T21:00:00-03:00,38599.3,38786.95,38508.18,38530.71
